app_name_jps2rin;Jps2Rin;Jps2Rin
check_sbas;SBAS;SBAS
antenna_height;1.0;1.0
jps_filename_title;Jps File Name;Jps File Name
zero_inside_znss;Zeros instead of spaces;Zeros instead of spaces
action_settings;Settings;Settings
check_antenna;Antenna;Antenna
check_decimation;Decimation;Decimation
check_clock_offset;Include Receiver Clock Offset;Include Receiver Clock Offset
text_rinex_version;Rinex Version;Rinex Version
parameter_file;params.txt;params.txt
button_select;&#8230||;&#8230||
text_observations;Observations;Observations
check_gps;GPS;GPS
check_glo;GLO;GLO
button_convert;Convert;Convert
check_gal;GAL;GAL
check_parameter_file;Param. File;Param. File
antenna_id;JAV_TRIUMPH-1;JAV_TRIUMPH-1
