string_setting_oaf_to_the_receiver___;;
string_do_you_want_to_receive_job__s;Do you want to receive job %s;Do you want to receive job %s
string_loaded___;;
string_oaf_update_error;;
string_download_and_update;;
string_starting___;;
string_received_job__s_with_errors;Received job %s with errors;Received job %s with errors
string_reading_data___;;
string_receiving_oaf___;;
string_oaf_successfully_updated;;
string_receiveing___;Receiveing&#8230||;Receiveing&#8230||
string_close;Close;Close
string_cancel;Cancel;Cancel
string_the_receiver_options_have_expired_;;
string_oaf_has_set__resetting_receiver___;;
string_the_receiver_options_are_going_to_be_expired_in__d_days_;;
string_firmware_update_error;;
string_reading_file_list_for_job__s____;Reading file list for job %s &#8230||;Reading file list for job %s &#8230||
string_firmware_update;;
string_checking_is_oaf_ready;;
string_oaf_update;;
string_receive;Receive;Receive
string_answer_received;;
string_receiving_file__s____;Receiving file %s &#8230||;Receiving file %s &#8230||
string_successfully_received_job__s;Successfully received job %s;Successfully received job %s
string_oaf_update_finished;;
string_receive_job;Receive Job;Receive Job
string_downloading_and_updating___;;
string_please_wait___;Please wait&#8230||;Please wait&#8230||
string_reading_binary___;;
string_firmware_successfully_updated;;
string_parsing_data___;;
