source_sensor_s1;Sensor S1;Sensor S1
button_calibrate;Calibrate;Calibrate
string_no_tone_less_than;No Tone less than;No Tone less than
string_data_source;Mag. Source;Mag. Source
button_s_d_s;Single;Single
text_select_smarttip;Select J-Tip;Select J-Tip
button_clear_range;Clear Range;Clear Range
button_xyz2_direction;XYZ;XYZ
button_hold_range;Hold Range;Hold Range
button_s_d_d;;
jtip_calibration_required;Calibration Required!;Calibration Required!
string_max_value;Max Value;Max Value
button_set_range;Set Range;Set Range
button_firmware;Upload Firmware;Upload Firmware
string_min_value;Min Value;Min Value
string_sound_type;Sound type;Sound type
string_gain;Gain;Gain
string_gain_value;Gain Value;Gain Value
button_manual;Manual;Manual
button_full_auto;Auto;Auto
string_set_mode_jtip;Set Mode;Set Mode
string_magnetic_source;Source;Source
string_volume;Volume;Volume
source_s1_minus_s2;Differential (S1-S2);Differential (S1-S2)
button_course;Set Course to 0;Set Course to 0
button_semi_auto;SemiAuto;SemiAuto
button_xy_direction;XY;XY
button_z_direction;Z Dir;Z Dir
source_s1_plus_s2;Both sensors - (S1+S2)/2;Both sensors - (S1+S2)/2
refresh_jtip;Refresh;Refresh
button_s_d;;
string_sensivity;Sensivity;Sensivity
string_0_value;0 Value;0 Value
button_auto_manual;Auto\\Manual;Auto\\Manual
string_set_sensor_source_jtip;Set Sensor Source;Set Sensor Source
button_auto_range;Auto Range;Auto Range
string_algorithm;Sound algorithm;Sound algorithm
source_sensor_s2;Sensor S2;Sensor S2
