string_create_new_job;Create New Job;Create New Job
string_exchange;Exchange;Exchange
string_exchnage_is_over;Exchnage is over;Exchnage is over
string_roads;Roads;Roads
string_export_to_total_station_is_over;Export to Total Station is over;Export to Total Station is over
string_job;Job;Job
string_start_data_transfrom_from_ts;Start data transfrom from TS;Start data transfrom from TS
string_exported__d_bytes;Exported %d bytes;Exported %d bytes
string_control_points;Control Points;Control Points
string_close;Close;Close
string_import_error;Import error;Import error
string_observs_;Observs:;Observs:
string_please_wait__;Please Wait!!;Please Wait!!
string_import_from_total_station_is_over;Import from Total Station is over;Import from Total Station is over
string_select_job;Select job;Select job
string_codes;Codes;Codes
string_observations;Observations;Observations
string_echange_canceled;Echange canceled;Echange canceled
string_code;Code;Code
string_import_started___;Import started&#8230||;Import started&#8230||
string_road;Road;Road
string_what_to_do_with__s_;What to do with %s?;What to do with %s?
string_export_error;Export error;Export error
string_controls_;Controls:;Controls:
string_version__1_s_build__2_s;Version %1$s Build %2$s;Version %1$s Build %2$s
string_delete_job;Delete job;Delete job
string_loading_format_list___;Loading Format List&#8230||;Loading Format List&#8230||
string_loading__s_list___;Loading %s List&#8230||;Loading %s List&#8230||
string_imported__d_bytes;Imported %d bytes;Imported %d bytes
